season,week,dateTimeET,dateTimeISO,away,home,network,winner
2025,1,9/4/2025 20:20:00,2025-09-05T00:20:00.000Z,DAL,PHI,NBC,
2025,1,9/5/2025 20:00:00,2025-09-06T00:00:00.000Z,KC,LAC,YouTube,
2025,1,9/7/2025 13:00:00,2025-09-07T17:00:00.000Z,LV,NE,CBS,
2025,1,9/7/2025 13:00:00,2025-09-07T17:00:00.000Z,PIT,NYJ,CBS,
2025,1,9/7/2025 13:00:00,2025-09-07T17:00:00.000Z,MIA,IND,CBS,
2025,1,9/7/2025 13:00:00,2025-09-07T17:00:00.000Z,ARI,NO,CBS,
2025,1,9/7/2025 13:00:00,2025-09-07T17:00:00.000Z,NYG,WAS,FOX,
2025,1,9/7/2025 13:00:00,2025-09-07T17:00:00.000Z,CAR,JAX,FOX,
2025,1,9/7/2025 13:00:00,2025-09-07T17:00:00.000Z,CIN,CLE,FOX,
2025,1,9/7/2025 13:00:00,2025-09-07T17:00:00.000Z,TB,ATL,FOX,
2025,1,9/7/2025 16:05:00,2025-09-07T20:05:00.000Z,TEN,DEN,FOX,
2025,1,9/7/2025 16:05:00,2025-09-07T20:05:00.000Z,SF,SEA,FOX,
2025,1,9/7/2025 16:25:00,2025-09-07T20:25:00.000Z,DET,GB,CBS,
2025,1,9/7/2025 16:25:00,2025-09-07T20:25:00.000Z,HOU,LAR,CBS,
2025,1,9/7/2025 20:20:00,2025-09-08T00:20:00.000Z,BAL,BUF,NBC,
2025,1,9/8/2025 20:15:00,2025-09-09T00:15:00.000Z,MIN,CHI,ABC,
2025,2,9/11/2025 20:15:00,2025-09-12T00:15:00.000Z,WAS,GB,Prime Video,
2025,2,9/14/2025 13:00:00,2025-09-14T17:00:00.000Z,JAX,CIN,CBS,
2025,2,9/14/2025 13:00:00,2025-09-14T17:00:00.000Z,BUF,NYJ,CBS,
2025,2,9/14/2025 13:00:00,2025-09-14T17:00:00.000Z,NE,MIA,CBS,
2025,2,9/14/2025 13:00:00,2025-09-14T17:00:00.000Z,LAR,TEN,CBS,
2025,2,9/14/2025 13:00:00,2025-09-14T17:00:00.000Z,CLE,BAL,CBS,
2025,2,9/14/2025 13:00:00,2025-09-14T17:00:00.000Z,SF,NO,FOX,
2025,2,9/14/2025 13:00:00,2025-09-14T17:00:00.000Z,NYG,DAL,FOX,
2025,2,9/14/2025 13:00:00,2025-09-14T17:00:00.000Z,SEA,PIT,FOX,
2025,2,9/14/2025 13:00:00,2025-09-14T17:00:00.000Z,CHI,DET,FOX,
2025,2,9/14/2025 16:05:00,2025-09-14T20:05:00.000Z,DEN,IND,CBS,
2025,2,9/14/2025 16:05:00,2025-09-14T20:05:00.000Z,CAR,ARI,CBS,
2025,2,9/14/2025 16:25:00,2025-09-14T20:25:00.000Z,PHI,KC,FOX,
2025,2,9/14/2025 20:20:00,2025-09-15T00:20:00.000Z,ATL,MIN,NBC,
2025,2,9/15/2025 19:00:00,2025-09-15T23:00:00.000Z,TB,HOU,ABC,
2025,2,9/15/2025 22:00:00,2025-09-16T02:00:00.000Z,LAC,LV,ESPN,
2025,3,9/18/2025 20:15:00,2025-09-19T00:15:00.000Z,MIA,BUF,Prime Video,
2025,3,9/21/2025 13:00:00,2025-09-21T17:00:00.000Z,PIT,NE,CBS,
2025,3,9/21/2025 13:00:00,2025-09-21T17:00:00.000Z,HOU,JAX,CBS,
2025,3,9/21/2025 13:00:00,2025-09-21T17:00:00.000Z,IND,TEN,CBS,
2025,3,9/21/2025 13:00:00,2025-09-21T17:00:00.000Z,CIN,MIN,CBS,
2025,3,9/21/2025 13:00:00,2025-09-21T17:00:00.000Z,NYJ,TB,FOX,
2025,3,9/21/2025 13:00:00,2025-09-21T17:00:00.000Z,GB,CLE,FOX,
2025,3,9/21/2025 13:00:00,2025-09-21T17:00:00.000Z,LV,WAS,FOX,
2025,3,9/21/2025 13:00:00,2025-09-21T17:00:00.000Z,ATL,CAR,FOX,
2025,3,9/21/2025 13:00:00,2025-09-21T17:00:00.000Z,LAR,PHI,FOX,
2025,3,9/21/2025 16:05:00,2025-09-21T20:05:00.000Z,NO,SEA,CBS,
2025,3,9/21/2025 16:05:00,2025-09-21T20:05:00.000Z,DEN,LAC,CBS,
