season,week,dateTimeET,dateTimeISO,away,home,network,winner
2025,0,7/31/2025 20:00:00,2025-08-01T00:00:00.000Z,LAC,DET,NBC,
2025,1,8/7/2025 19:00:00,2025-08-07T23:00:00.000Z,IND,BAL,,
2025,1,8/7/2025 19:30:00,2025-08-07T23:30:00.000Z,CIN,PHI,,
2025,1,8/7/2025 22:00:00,2025-08-08T02:00:00.000Z,LV,SEA,,
2025,1,8/8/2025 19:00:00,2025-08-08T23:00:00.000Z,DET,ATL,,
2025,1,8/8/2025 19:00:00,2025-08-08T23:00:00.000Z,CLE,CAR,,
2025,1,8/8/2025 19:30:00,2025-08-08T23:30:00.000Z,WAS,NE,,
2025,1,8/9/2025 13:00:00,2025-08-09T17:00:00.000Z,NYG,BUF,,
2025,1,8/9/2025 16:00:00,2025-08-09T20:00:00.000Z,HOU,MIN,,
2025,1,8/9/2025 19:00:00,2025-08-09T23:00:00.000Z,PIT,JAC,,
2025,1,8/9/2025 19:00:00,2025-08-09T23:00:00.000Z,DAL,LAR,,
2025,1,8/9/2025 19:30:00,2025-08-09T23:30:00.000Z,TEN,TB,,
2025,1,8/9/2025 20:00:00,2025-08-10T00:00:00.000Z,KC,ARI,,
2025,1,8/9/2025 20:00:00,2025-08-10T00:00:00.000Z,NYJ,GB,,
2025,1,8/9/2025 20:30:00,2025-08-10T00:30:00.000Z,DEN,SF,,
2025,1,8/10/2025 13:00:00,2025-08-10T17:00:00.000Z,MIA,CHI,,
2025,1,8/10/2025 16:05:00,2025-08-10T20:05:00.000Z,NO,LAC,,
2025,2,8/15/2025 19:00:00,2025-08-15T23:00:00.000Z,TEN,ATL,,
2025,2,8/15/2025 22:00:00,2025-08-16T02:00:00.000Z,KC,SEA,,
2025,2,8/16/2025 13:00:00,2025-08-16T17:00:00.000Z,MIA,DET,,
2025,2,8/16/2025 13:00:00,2025-08-16T17:00:00.000Z,CAR,HOU,,
2025,2,8/16/2025 13:00:00,2025-08-16T17:00:00.000Z,GB,IND,,
2025,2,8/16/2025 13:00:00,2025-08-16T17:00:00.000Z,NE,MIN,,
2025,2,8/16/2025 13:00:00,2025-08-16T17:00:00.000Z,CLE,PHI,,
2025,2,8/16/2025 16:00:00,2025-08-16T20:00:00.000Z,SF,LV,,
2025,2,8/16/2025 19:00:00,2025-08-16T23:00:00.000Z,BAL,DAL,,
2025,2,8/16/2025 19:00:00,2025-08-16T23:00:00.000Z,LAC,LAR,,
2025,2,8/16/2025 19:00:00,2025-08-16T23:00:00.000Z,NYJ,NYG,,
2025,2,8/16/2025 19:00:00,2025-08-16T23:00:00.000Z,TB,PIT,,
2025,2,8/16/2025 21:30:00,2025-08-17T01:30:00.000Z,ARI,DEN,,
2025,2,8/17/2025 13:00:00,2025-08-17T17:00:00.000Z,JAC,NO,,
2025,2,8/17/2025 20:00:00,2025-08-18T00:00:00.000Z,BUF,CHI,Fox,
2025,2,8/18/2025 20:00:00,2025-08-19T00:00:00.000Z,CIN,WAS,ESPN,
2025,3,8/21/2025 19:00:00,2025-08-21T23:00:00.000Z,PIT,CAR,,
2025,3,8/21/2025 20:00:00,2025-08-22T00:00:00.000Z,NE,NYG,Prime Video,
2025,3,8/22/2025 19:30:00,2025-08-22T23:30:00.000Z,PHI,NYJ,,
2025,3,8/22/2025 20:00:00,2025-08-23T00:00:00.000Z,ATL,DAL,,
2025,3,8/22/2025 20:00:00,2025-08-23T00:00:00.000Z,MIN,TEN,CBS,
2025,3,8/22/2025 20:20:00,2025-08-23T00:20:00.000Z,CHI,KC,,
2025,3,8/23/2025 12:00:00,2025-08-23T16:00:00.000Z,BAL,WAS,,
2025,3,8/23/2025 13:00:00,2025-08-23T17:00:00.000Z,IND,CIN,,
2025,3,8/23/2025 13:00:00,2025-08-23T17:00:00.000Z,LAR,CLE,,
2025,3,8/23/2025 13:00:00,2025-08-23T17:00:00.000Z,HOU,DET,,
2025,3,8/23/2025 13:00:00,2025-08-23T17:00:00.000Z,DEN,NO,,
2025,3,8/23/2025 16:00:00,2025-08-23T20:00:00.000Z,SEA,GB,,
2025,3,8/23/2025 19:00:00,2025-08-23T23:00:00.000Z,JAC,MIA,,
2025,3,8/23/2025 19:30:00,2025-08-23T23:30:00.000Z,BUF,TB,,
2025,3,8/23/2025 20:30:00,2025-08-24T00:30:00.000Z,LAC,SF,,
2025,3,8/23/2025 22:00:00,2025-08-24T02:00:00.000Z,LV,ARI,,
